#JD                    MAG              ERR               SURVEY Filter
2455946.805350000039   0.014000000000   0.016000000000    ASAS-SN V
2455966.783650000114   0.066000000000   0.025000000000    ASAS-SN V
2455966.785290000029   0.037000000000   0.026000000000    ASAS-SN V
2455970.799629999790  -0.021000000000   0.017000000000    ASAS-SN V
2455978.758309999947   0.052000000000   0.021000000000    ASAS-SN V
2455978.760059999768   0.007000000000   0.021000000000    ASAS-SN V
2455998.744090000167   0.049000000000   0.036000000000    ASAS-SN V
2455998.745730000082  -0.004000000000   0.044000000000    ASAS-SN V
2456002.751079999842  -0.016000000000   0.023000000000    ASAS-SN V
2456002.752780000214  -0.002000000000   0.024000000000    ASAS-SN V
2456016.728660000023  -0.122000000000   0.033000000000    ASAS-SN V
2456016.730270000175  -0.058000000000   0.032000000000    ASAS-SN V
2456028.731230000034  -0.135000000000   0.028000000000    ASAS-SN V
2456028.732849999797  -0.089000000000   0.030000000000    ASAS-SN V
2457007.890240000095  -0.009000000000   0.022000000000    ASAS-SN V
2457007.891669999808  -0.016000000000   0.023000000000    ASAS-SN V
2457008.902569999918   0.044000000000   0.023000000000    ASAS-SN V
2457008.904120000079  -0.003000000000   0.023000000000    ASAS-SN V
2457009.733839999884  -0.016000000000   0.022000000000    ASAS-SN V
2457009.735299999826  -0.045000000000   0.023000000000    ASAS-SN V
2457009.758040000219  -0.051000000000   0.023000000000    ASAS-SN V
2457009.759570000228   0.002000000000   0.023000000000    ASAS-SN V
2457009.760970000178  -0.009000000000   0.023000000000    ASAS-SN V
2457009.763420000207   0.034000000000   0.022000000000    ASAS-SN V
2457009.902929999866  -0.020000000000   0.021000000000    ASAS-SN V
2457009.904329999816  -0.062000000000   0.022000000000    ASAS-SN V
2457009.989639999811  -0.052000000000   0.021000000000    ASAS-SN V
2457009.991129999980  -0.038000000000   0.022000000000    ASAS-SN V
2457009.992500000168   0.011000000000   0.024000000000    ASAS-SN V
2457009.993919999804  -0.050000000000   0.026000000000    ASAS-SN V
2457009.995310000144   0.000000000000   0.032000000000    ASAS-SN V
2457009.996770000085  -0.071000000000   0.024000000000    ASAS-SN V
2457010.904329999816  -0.043000000000   0.023000000000    ASAS-SN V
2457010.905799999833  -0.011000000000   0.022000000000    ASAS-SN V
2457011.889630000107  -0.043000000000   0.023000000000    ASAS-SN V
2457011.891090000048  -0.088000000000   0.022000000000    ASAS-SN V
2457021.763830000069  -0.026000000000   0.026000000000    ASAS-SN V
2457021.765230000019  -0.086000000000   0.026000000000    ASAS-SN V
2457021.960760000162   0.000000000000   0.033000000000    ASAS-SN V
2457021.962170000188  -0.017000000000   0.028000000000    ASAS-SN V
2457033.845869999845   0.013000000000   0.020000000000    ASAS-SN V
2457033.847479999997   0.026000000000   0.020000000000    ASAS-SN V
2457037.827510000207  -0.020000000000   0.022000000000    ASAS-SN V
