# BJD-2454833, Blended_Flux, Deblended_Flux, Error
2.987581230080249952e+03 1.003397686095168995e+00 1.006795372190337989e+00 1.129487174284200742e-04
2.987601662395376479e+03 1.001567565908219271e+00 1.003135131816438541e+00 1.129487174284200742e-04
2.987622094509562885e+03 9.991226450423300598e-01 9.982452900846601196e-01 1.129487174284200742e-04
2.987642526723757328e+03 9.992061242086490713e-01 9.984122484172981427e-01 1.129487174284200742e-04
2.987662959037021210e+03 9.998041005595673658e-01 9.996082011191347316e-01 1.129487174284200742e-04
2.987683391149810632e+03 9.997856838874189522e-01 9.995713677748379045e-01 1.129487174284200742e-04
2.987703823362142430e+03 1.000168357380820439e+00 1.000336714761641099e+00 1.129487174284200742e-04
2.987724255673543666e+03 1.000008295858179297e+00 1.000016591716358594e+00 1.129487174284200742e-04
2.987744687784936104e+03 1.000011739843995162e+00 1.000023479687990324e+00 1.129487174284200742e-04
2.987765120095406019e+03 9.999430266040240101e-01 9.998860532080480201e-01 1.129487174284200742e-04
2.987785552305409510e+03 9.999216820370898651e-01 9.998433640741797301e-01 1.129487174284200742e-04
2.987805984514940064e+03 9.998465191736135571e-01 9.996930383472271142e-01 1.129487174284200742e-04
2.987826416724012233e+03 9.999530370913995991e-01 9.999060741827991983e-01 1.129487174284200742e-04
2.987846848932618741e+03 9.996285682132949324e-01 9.992571364265898648e-01 1.129487174284200742e-04
2.987867281140286650e+03 9.995557990687801153e-01 9.991115981375602306e-01 1.129487174284200742e-04
2.987887713347961835e+03 9.996279878453537826e-01 9.992559756907075652e-01 1.129487174284200742e-04
2.987908145554705698e+03 9.994118151571260711e-01 9.988236303142521422e-01 1.129487174284200742e-04
2.987928577760976623e+03 9.990978634630865995e-01 9.981957269261731991e-01 1.129487174284200742e-04
2.987949009966323501e+03 9.991992979397086305e-01 9.983985958794172610e-01 1.129487174284200742e-04
2.987969442171670380e+03 9.990442047910929046e-01 9.980884095821858093e-01 1.129487174284200742e-04
2.987989874276543560e+03 9.989363390709047330e-01 9.978726781418094660e-01 1.129487174284200742e-04
2.988010306580494216e+03 9.988343946497126868e-01 9.976687892994253737e-01 1.129487174284200742e-04
2.988030738783978450e+03 9.983960255821330287e-01 9.967920511642660575e-01 1.129487174284200742e-04
2.988051171086990507e+03 9.985441942677931726e-01 9.970883885355863452e-01 1.129487174284200742e-04
2.988071603189542657e+03 9.978641224904949425e-01 9.957282449809898850e-01 1.129487174284200742e-04
2.988092035391164245e+03 9.974973245304831204e-01 9.949946490609662408e-01 1.129487174284200742e-04
2.988112467692779319e+03 9.971176244242289100e-01 9.942352488484578199e-01 1.129487174284200742e-04
2.988132899793468823e+03 9.965296873120047527e-01 9.930593746240095054e-01 1.129487174284200742e-04
2.988153331993693428e+03 9.962630193725978689e-01 9.925260387451957378e-01 1.129487174284200742e-04
2.988173764293445856e+03 9.960927839843821685e-01 9.921855679687643370e-01 1.129487174284200742e-04
2.988194196392738377e+03 9.960297621793683387e-01 9.920595243587366774e-01 1.129487174284200742e-04
2.988214628591565997e+03 9.958363440243627185e-01 9.916726880487254370e-01 1.129487174284200742e-04
2.988235060889455781e+03 9.957227679976776713e-01 9.914455359953553426e-01 1.129487174284200742e-04
2.988255492987351317e+03 9.956425037777183462e-01 9.912850075554366924e-01 1.129487174284200742e-04
2.988275925184316293e+03 9.928901600970869712e-01 9.857803201941739424e-01 1.129487174284200742e-04
2.988296357480809093e+03 9.939519036558859266e-01 9.879038073117718533e-01 1.129487174284200742e-04
2.988316789676842745e+03 9.945739508723563382e-01 9.891479017447126765e-01 1.129487174284200742e-04
2.988337221871945076e+03 9.957747014663222984e-01 9.915494029326445968e-01 1.129487174284200742e-04
2.988357654067040130e+03 9.959134013282697762e-01 9.918268026565395523e-01 1.129487174284200742e-04
2.988378086261211138e+03 9.960558197588753604e-01 9.921116395177507208e-01 1.129487174284200742e-04
2.988398518454909208e+03 9.963595086031744597e-01 9.927190172063489193e-01 1.129487174284200742e-04
2.988418950648148893e+03 9.966300613167220490e-01 9.932601226334440980e-01 1.129487174284200742e-04
