# BJD-2454833, Flux, Error
2.987581230080249952e+03 9.683630218629555308e-01 1.129487174284200742e-04
2.987601662395376479e+03 9.663805402970375713e-01 1.129487174284200742e-04
2.987622094509562885e+03 9.639282911064165349e-01 1.129487174284200742e-04
2.987642526723757328e+03 9.641495309524957813e-01 1.129487174284200742e-04
2.987662959037021210e+03 9.650295465210829704e-01 1.129487174284200742e-04
2.987683391149810632e+03 9.654357674759919128e-01 1.129487174284200742e-04
2.987703823362142430e+03 9.663831597452305910e-01 1.129487174284200742e-04
2.987724255673543666e+03 9.669245523517369101e-01 1.129487174284200742e-04
2.987744687784936104e+03 9.677620306612503276e-01 1.129487174284200742e-04
2.987765120095406019e+03 9.686550442285154494e-01 1.129487174284200742e-04
2.987785552305409510e+03 9.697174841796831757e-01 1.129487174284200742e-04
2.987805984514940064e+03 9.708418771200898467e-01 1.129487174284200742e-04
2.987826416724012233e+03 9.722568159117159770e-01 1.129487174284200742e-04
2.987846848932618741e+03 9.733421700820392708e-01 1.129487174284200742e-04
2.987867281140286650e+03 9.747726695296931032e-01 1.129487174284200742e-04
2.987887713347961835e+03 9.764331888003341398e-01 1.129487174284200742e-04
2.987908145554705698e+03 9.778816671030877705e-01 1.129487174284200742e-04
2.987928577760976623e+03 9.792996596660580311e-01 1.129487174284200742e-04
2.987949009966323501e+03 9.811910915655175369e-01 1.129487174284200742e-04
2.987969442171670380e+03 9.828746700723469676e-01 1.129487174284200742e-04
2.987989874276543560e+03 9.846446967472473055e-01 1.129487174284200742e-04
2.988010306580494216e+03 9.864504568751540914e-01 1.129487174284200742e-04
2.988030738783978450e+03 9.879402196600811648e-01 1.129487174284200742e-04
2.988051171086990507e+03 9.900277576932683399e-01 1.129487174284200742e-04
2.988071603189542657e+03 9.912892704490631202e-01 1.129487174284200742e-04
2.988092035391164245e+03 9.928575843932854195e-01 1.129487174284200742e-04
2.988112467692779319e+03 9.943981432925785846e-01 1.129487174284200742e-04
2.988132899793468823e+03 9.957075938960093797e-01 1.129487174284200742e-04
2.988153331993693428e+03 9.973079188213711532e-01 1.129487174284200742e-04
2.988173764293445856e+03 9.989672109549797563e-01 1.129487174284200742e-04
2.988194196392738377e+03 1.000689673506807376e+00 1.129487174284200742e-04
2.988214628591565997e+03 1.002231721359709837e+00 1.129487174284200742e-04
2.988235060889455781e+03 1.003798164300636175e+00 1.129487174284200742e-04
2.988255492987351317e+03 1.005337611538723808e+00 1.129487174284200742e-04
